swimmer,team,gender,class_yr,points,season
"Taraday, Lola S",Carleton,Female,SO,483.45,2023-2024
"Trackman, Alison J",Carleton,Female,SO,458.25,2023-2024
"Tran, Aubrey M",Carleton,Female,FR,493.60,2023-2024
"Tucker, Daya V",Carleton,Female,FR,552.00,2023-2024
"Westrup, Hailey J",Carleton,Female,FR,–,2023-2024
"Wong, Lily S",Carleton,Female,SO,563.90,2023-2024
"Wootten, Nora",Carleton,Female,FR,498.45,2023-2024
"Yao, Emma",Carleton,Female,FR,590.05,2023-2024
"Yu, Hope",Carleton,Female,SO,–,2023-2024
"Andersen, Rachel A",Concordia-Moorhead,Female,SR,303.50,2023-2024
"Barlage, Madelyn",Concordia-Moorhead,Female,SO,352.10,2023-2024
"Baugh, Chea L",Concordia-Moorhead,Female,FR,441.85,2023-2024
"Biebl, Lindsey",Concordia-Moorhead,Female,–,268.10,2023-2024
"Darling, Kiernan",Concordia-Moorhead,Female,JR,–,2023-2024
"Jaeger, Hailey C",Concordia-Moorhead,Female,JR,501.50,2023-2024
"Juetten, Haley",Concordia-Moorhead,Female,SO,370.55,2023-2024
"Metsala, Callie A",Concordia-Moorhead,Female,FR,577.35,2023-2024
"Moore, Christina J",Concordia-Moorhead,Female,SO,359.90,2023-2024
"Negri, Sydney",Concordia-Moorhead,Female,FR,265.65,2023-2024
"Nhantumbo, Royce",Concordia-Moorhead,Female,SR,207.35,2023-2024
"Porter, Tinsley",Concordia-Moorhead,Female,SO,398.40,2023-2024
"Timm, Brienna",Concordia-Moorhead,Female,SR,424.55,2023-2024
"Braley, Logan",Gustavus,Male,SO,528.50,2023-2024
"Carlson, Aiden C",Gustavus,Male,FR,574.80,2023-2024
"Christoferson, Jack E",Gustavus,Male,SO,528.05,2023-2024
"Collins, Brendan M",Gustavus,Male,FR,624.85,2023-2024
"Copple, Kade R",Gustavus,Male,SR,524.25,2023-2024
"Cordano, Jonathan",Gustavus,Male,JR,634.40,2023-2024
"Cyr, Logan J",Gustavus,Male,FR,624.50,2023-2024
"Hemstad, Trygg D",Gustavus,Male,FR,343.65,2023-2024
"Hill, Nyden F",Gustavus,Male,JR,670.65,2023-2024
"Hoff, Alex R",Gustavus,Male,SO,388.60,2023-2024
"Jensen, Andrew Y",Gustavus,Male,SR,–,2023-2024
"Johnson, Alex",Gustavus,Male,JR,470.20,2023-2024
"Johnson, Trevor D",Gustavus,Male,SO,–,2023-2024
"Kauffman, Tyler",Gustavus,Male,FR,486.90,2023-2024
"Kell, Benjamin T",Gustavus,Male,FR,538.55,2023-2024
"Lester, Ryan",Gustavus,Male,JR,–,2023-2024
"Lillejord, Matthew T",Gustavus,Male,FR,539.15,2023-2024
"Lund, James D",Gustavus,Male,FR,435.55,2023-2024
"Malecha, Bryce",Gustavus,Male,SR,528.75,2023-2024
"Metzger, Jacob J",Gustavus,Male,JR,509.15,2023-2024
"Moran, John",Gustavus,Male,SO,397.50,2023-2024
"Muench, Graham W",Gustavus,Male,FR,589.75,2023-2024
"Nguyen, Marcus V",Gustavus,Male,JR,445.45,2023-2024
"Richardson, Peyton",Gustavus,Male,SR,685.95,2023-2024
"Ricker, Joseph",Gustavus,Male,JR,457.25,2023-2024
"Ripken, Braden L",Gustavus,Male,FR,684.00,2023-2024
"Ripken, Kieran",Gustavus,Male,SR,707.20,2023-2024
"Rossow, Teddy",Gustavus,Male,SR,434.25,2023-2024
"Rowan, Jonathan R",Gustavus,Male,FR,382.35,2023-2024
"Sarkinen, Cole T",Gustavus,Male,FR,412.05,2023-2024
"Sarkinen, Will A",Gustavus,Male,SO,526.45,2023-2024
"Schindler, Logan T",Gustavus,Male,SR,480.35,2023-2024
"Shermak, Aiden R",Gustavus,Male,FR,595.30,2023-2024
"Solensky, Theodore H",Gustavus,Male,FR,589.70,2023-2024
"Strom, Matthew J",Gustavus,Male,SR,729.55,2023-2024
"Teichmiller, Tyler",Gustavus,Male,SR,636.40,2023-2024
"Vaupel, Landon D",Gustavus,Male,FR,606.55,2023-2024
"Wilcek, Brandon P",Gustavus,Male,SO,642.65,2023-2024
"Anderson Moye, Stella V",Gustavus,Female,FR,604.45,2023-2024
"Arp, Abby",Gustavus,Female,JR,423.95,2023-2024
"Artley, Elisabeth J",Gustavus,Female,JR,505.00,2023-2024
"Bader, Ursula I",Gustavus,Female,JR,461.80,2023-2024
"Castillo, Mariel",Gustavus,Female,SR,531.60,2023-2024
"Coppersmith, Kendall M",Gustavus,Female,FR,505.35,2023-2024
"Dickerson, Emmalyn J",Gustavus,Female,SR,–,2023-2024
"Ewer, Hannah G",Gustavus,Female,SR,488.90,2023-2024
"Fisher, Nola",Gustavus,Female,FR,560.40,2023-2024
"Foust, Allison E",Gustavus,Female,FR,391.45,2023-2024
"Groth, Mackenzie L",Gustavus,Female,SR,453.70,2023-2024
"Hall, Erin",Gustavus,Female,FR,–,2023-2024
"Isaacson, Marit K",Gustavus,Female,JR,621.60,2023-2024
"Jass, Teegan",Gustavus,Female,SR,540.60,2023-2024
"Johnson, Chelsy M",Gustavus,Female,SR,543.30,2023-2024
"Johnson, Ellie M",Gustavus,Female,SO,462.70,2023-2024
"Koeneman, Olivia J",Gustavus,Female,FR,559.05,2023-2024
"Koenigs, Jemma M",Gustavus,Female,JR,–,2023-2024
"Lozinski, Libby",Gustavus,Female,SO,450.15,2023-2024
"Mattson, Ella V",Gustavus,Female,FR,390.00,2023-2024
"Oian Vust, Regan C",Gustavus,Female,FR,406.05,2023-2024
"Olson, Samantha M",Gustavus,Female,FR,441.55,2023-2024
"Pagelkopf, Jessica",Gustavus,Female,FR,–,2023-2024
"Peterson, Lucy",Gustavus,Female,SR,665.50,2023-2024
"Phillips, Mercedes A",Gustavus,Female,–,413.35,2023-2024
"Pratt, Kaija",Gustavus,Female,SR,–,2023-2024
"Prowse, Sydney J",Gustavus,Female,JR,504.50,2023-2024
"Rooney, McKenna R",Gustavus,Female,SO,333.65,2023-2024
"Scheeler, Olivia R",Gustavus,Female,FR,497.45,2023-2024
"Soukup, Leah",Gustavus,Female,SR,563.35,2023-2024
"Sprow, Reese E",Gustavus,Female,JR,502.30,2023-2024
"Stokesbary, Madison E",Gustavus,Female,SR,344.80,2023-2024
"Stoudt, Gabriella",Gustavus,Female,SO,–,2023-2024
"Sundby, Lindsay R",Gustavus,Female,SO,592.85,2023-2024
"Symreng, Felicia L",Gustavus,Female,FR,460.25,2023-2024
"Thiss, Nora M",Gustavus,Female,FR,454.55,2023-2024
"Thomas, Kassidy M",Gustavus,Female,SO,445.70,2023-2024
"Thomson, Megan",Gustavus,Female,SO,490.75,2023-2024
"Van Den Heuvel, Bella A",Gustavus,Female,JR,499.45,2023-2024
"Wagner, Grace A",Gustavus,Female,SO,458.15,2023-2024
"Wartner, Hadley A",Gustavus,Female,FR,557.30,2023-2024
"Whitlock, Macey",Gustavus,Female,JR,582.70,2023-2024
"Witte, Mikayla R",Gustavus,Female,JR,519.25,2023-2024
"Zebell, Laura",Gustavus,Female,FR,425.00,2023-2024
"Ziegler, Madeline G",Gustavus,Female,JR,555.50,2023-2024
"Bossou, Kevin k",Hamline,Male,SO,374.11,2023-2024
"Goebel, Walker S",Hamline,Male,SO,–,2023-2024
"Poeschel, Evan",Hamline,Male,SO,225.95,2023-2024
"Van Sambeek, Anthony T",Hamline,Male,SR,547.90,2023-2024
"Graham, Ava N",Hamline,Female,JR,521.15,2023-2024
"Hegg, Makayla J",Hamline,Female,JR,324.55,2023-2024
"Krumrei, Britney",Hamline,Female,FR,–,2023-2024
"Phillips, Nicole A",Hamline,Female,JR,413.55,2023-2024
"Stadheim, Isabella Q",Hamline,Female,SO,325.75,2023-2024
"Tschida, Audrey",Hamline,Female,JR,–,2023-2024
"Yurttas, Sila",Hamline,Female,JR,526.20,2023-2024
"Batsaikhan, Munkhbat C",Macalester,Male,JR,699.25,2023-2024
"Chen, Alec G",Macalester,Male,SO,528.35,2023-2024
"Desouza-Chen, Kynan",Macalester,Male,SO,449.35,2023-2024
"Fanning, Jay",Macalester,Male,JR,–,2023-2024
"Haby, William K",Macalester,Male,FR,645.45,2023-2024
"Herlihy, Dylan",Macalester,Male,SO,–,2023-2024
"Kisker, Isaac J",Macalester,Male,JR,562.45,2023-2024
"Lewin, Ben w",Macalester,Male,JR,471.95,2023-2024
"McNeff, Ryan D",Macalester,Male,JR,461.00,2023-2024
"Meretta, Casey S",Macalester,Male,SO,527.25,2023-2024
"Mickelborough, Ryan J",Macalester,Male,FR,495.75,2023-2024
"Moore, Thomas A",Macalester,Male,FR,639.20,2023-2024
"Nicholson, William",Macalester,Male,SR,416.75,2023-2024
"Palli, Taran",Macalester,Male,SO,583.80,2023-2024
"Pryzby, Brian",Macalester,Male,SR,460.50,2023-2024
"Schroeder, Adam D",Macalester,Male,JR,528.35,2023-2024
"Simpson, Peter J",Macalester,Male,FR,422.35,2023-2024
"St. John, William A",Macalester,Male,SO,608.40,2023-2024
"Villarama, Ramier S",Macalester,Male,JR,415.10,2023-2024
"Batsaikhan, Munkh-Enkh E",Macalester,Female,JR,445.05,2023-2024
"Capecci, Isabel V",Macalester,Female,SR,451.10,2023-2024
"Chapon, Caroline A",Macalester,Female,JR,565.40,2023-2024
"Chopskie, Megan",Macalester,Female,FR,526.00,2023-2024
"Cox-Faxon, Izabel",Macalester,Female,JR,433.35,2023-2024
"Devitt, Anne N",Macalester,Female,FR,322.55,2023-2024
"Farrer, Alyson C",Macalester,Female,SO,420.50,2023-2024
"Green, Sonya C",Macalester,Female,JR,451.70,2023-2024
"Henry, Emma L",Macalester,Female,SO,604.00,2023-2024
"Hinz, Saffron P",Macalester,Female,–,514.05,2023-2024
"Isbell, Anastacia N",Macalester,Female,–,420.80,2023-2024
"Johnson, Olivia L",Macalester,Female,JR,488.85,2023-2024
"Koelbel, Danielle K",Macalester,Female,FR,384.01,2023-2024
"Lanz, Nadia G",Macalester,Female,SO,551.55,2023-2024
"Malone, Adelyn",Macalester,Female,FR,452.55,2023-2024
"Marcotullio, Isabella X",Macalester,Female,SO,440.80,2023-2024
"Merkadeau, Olga",Macalester,Female,JR,575.10,2023-2024
"Nilson, Melina",Macalester,Female,JR,348.67,2023-2024
"Parker, Eleanor E",Macalester,Female,JR,475.10,2023-2024
"Petrin, Eleanor",Macalester,Female,JR,671.10,2023-2024
"Pollock, Natalie E",Macalester,Female,JR,572.80,2023-2024
"Radke, Jocelyn A",Macalester,Female,SR,654.80,2023-2024
"Schmit, Skye E",Macalester,Female,SO,662.00,2023-2024
"Schutz, Lauren-Anne",Macalester,Female,JR,–,2023-2024
"Stretanski, Claire",Macalester,Female,FR,487.10,2023-2024
"Tilzer, Nicole E",Macalester,Female,FR,457.00,2023-2024
"Uhlhorn-Thornton, Isabella",Macalester,Female,SO,629.15,2023-2024
"Williams, Laura A",Macalester,Female,FR,470.70,2023-2024
"Wray-Raabolle, Verity C",Macalester,Female,JR,611.15,2023-2024
"Yehle, Kate",Macalester,Female,JR,–,2023-2024
"Zurn, Hannah A",Macalester,Female,SO,580.30,2023-2024
"Bradley, Shea E",Saint Kate's,Female,FR,554.60,2023-2024
"Chandler, Natalie J",Saint Kate's,Female,SO,552.50,2023-2024
"Chikowero, Maka",Saint Kate's,Female,SO,416.20,2023-2024
"Cook, Clare",Saint Kate's,Female,FR,425.95,2023-2024
"Dombroski, Jillian",Saint Kate's,Female,JR,562.90,2023-2024
"Durand, Gillian",Saint Kate's,Female,–,603.60,2023-2024
"Friedrich, Samantha M",Saint Kate's,Female,SR,594.30,2023-2024
"Grotbo, Jordyn E",Saint Kate's,Female,FR,581.50,2023-2024
"Hacker, Ava J",Saint Kate's,Female,FR,529.35,2023-2024
"Halverson, Brooke",Saint Kate's,Female,FR,439.40,2023-2024
"Harvey, Nicolette K",Saint Kate's,Female,SO,498.75,2023-2024
"Hermansen, Sierra G",Saint Kate's,Female,SO,516.35,2023-2024
"Hochstetler, Ella G",Saint Kate's,Female,SO,630.00,2023-2024
"Hocking, Amelia S",Saint Kate's,Female,JR,495.65,2023-2024
"Johnson, Charlotte R",Saint Kate's,Female,FR,435.65,2023-2024
"Marthaler, Mackenzie L",Saint Kate's,Female,SO,399.35,2023-2024
"Mckeon, Eloise M",Saint Kate's,Female,FR,425.05,2023-2024
"Morris, Mary T",Saint Kate's,Female,FR,560.00,2023-2024
"Pollard, Richanta C",Saint Kate's,Female,FR,421.75,2023-2024
"Svendsen, Emma K",Saint Kate's,Female,JR,655.00,2023-2024
"van Oosterom, Anneke B",Saint Kate's,Female,SR,567.15,2023-2024
"Voelker, Andrea",Saint Kate's,Female,–,609.05,2023-2024
"Weil, Olivia F",Saint Kate's,Female,SO,572.30,2023-2024
"Anderson, Samuel J",SJU/CSB,Male,SR,438.15,2023-2024
"Arntson, Maximillion D",SJU/CSB,Male,FR,434.95,2023-2024
"Avent, Elijah K",SJU/CSB,Male,FR,457.45,2023-2024
"Close, Brennan W",SJU/CSB,Male,FR,476.05,2023-2024
"Davies, Jack",SJU/CSB,Male,FR,521.30,2023-2024
"Edwards, Benjamin J",SJU/CSB,Male,FR,435.40,2023-2024
"Edwards, Samuel L",SJU/CSB,Male,SO,486.45,2023-2024
"Flores, Luis A",SJU/CSB,Male,FR,508.05,2023-2024
"Fuller, Joseph C",SJU/CSB,Male,SO,435.55,2023-2024
"Grabinski, Elijah E",SJU/CSB,Male,JR,–,2023-2024
"Heer, Alex G",SJU/CSB,Male,SR,516.20,2023-2024
"Kern, Colby N",SJU/CSB,Male,JR,618.65,2023-2024
"King, Alex M",SJU/CSB,Male,FR,590.00,2023-2024
"Larson, Carter S",SJU/CSB,Male,JR,673.40,2023-2024
"Megaw, Clay W",SJU/CSB,Male,SO,645.60,2023-2024
"Noble, Liam T",SJU/CSB,Male,JR,606.70,2023-2024
"Nyangamoi, Simon L",SJU/CSB,Male,FR,523.80,2023-2024
"O'Donnel, Brogan P",SJU/CSB,Male,SR,541.70,2023-2024
"Philion, Langston R",SJU/CSB,Male,JR,548.85,2023-2024
"Reuter, Carsten D",SJU/CSB,Male,SO,582.40,2023-2024
"Rios, Rafael",SJU/CSB,Male,SR,525.75,2023-2024
"Roggeman, Andrew M",SJU/CSB,Male,SO,470.50,2023-2024
"Rotter, Timothy A",SJU/CSB,Male,SO,–,2023-2024
"Ruoff, Zac J",SJU/CSB,Male,JR,537.80,2023-2024
"Scanlon, Parker O",SJU/CSB,Male,SR,583.00,2023-2024
"Schreifels, Cameron J",SJU/CSB,Male,SO,462.50,2023-2024
"Siyad, Sakariye A",SJU/CSB,Male,SR,378.30,2023-2024
"Slavik, Brayden J",SJU/CSB,Male,SO,725.70,2023-2024
"Spangler, Scott C",SJU/CSB,Male,SR,435.10,2023-2024
"Teeter, Travis L",SJU/CSB,Male,SR,502.50,2023-2024
"Thayer, Connor M",SJU/CSB,Male,JR,611.30,2023-2024
"Tschida, Jake E",SJU/CSB,Male,JR,497.80,2023-2024
"Watts, Cody",SJU/CSB,Male,FR,–,2023-2024
"West, Jack P",SJU/CSB,Male,JR,491.40,2023-2024
"Ahlquist, Maddy L",SJU/CSB,Female,SO,314.40,2023-2024
"Alholm, Jayda",SJU/CSB,Female,FR,442.95,2023-2024
"Bartels, Megan J",SJU/CSB,Female,SO,529.35,2023-2024
"Boomgaarden, Anna G",SJU/CSB,Female,FR,412.40,2023-2024
"Buffetta, Sabrina",SJU/CSB,Female,JR,–,2023-2024
"Canfield, Claire A",SJU/CSB,Female,FR,565.70,2023-2024
"Gustin, Sydney A",SJU/CSB,Female,FR,471.80,2023-2024
"Hansen, Elizabeth G",SJU/CSB,Female,SO,507.60,2023-2024
"Haskamp, Mikayla L",SJU/CSB,Female,SO,543.65,2023-2024
"Hippen, Claire",SJU/CSB,Female,SR,–,2023-2024
"Jackson, Josephine M",SJU/CSB,Female,FR,477.35,2023-2024
"Jennings, Laura",SJU/CSB,Female,SR,523.75,2023-2024
"Kowalczyk, Ella",SJU/CSB,Female,FR,–,2023-2024
"Larson, Jocie",SJU/CSB,Female,SR,520.00,2023-2024
"Mechels, Kate",SJU/CSB,Female,SR,361.25,2023-2024
"Morris, Mary T",SJU/CSB,Female,FR,585.90,2023-2024
"Neely, Emma R",SJU/CSB,Female,FR,434.85,2023-2024
"Oswald, Emily K",SJU/CSB,Female,FR,400.15,2023-2024
"Pattee, Megan",SJU/CSB,Female,–,454.95,2023-2024
"Schlueter, Rachel V",SJU/CSB,Female,SO,587.75,2023-2024
"Sitzman, Lauren M",SJU/CSB,Female,SO,529.90,2023-2024
"Smutka, Lindsay M",SJU/CSB,Female,SR,586.50,2023-2024
"Stout, Morgan M",SJU/CSB,Female,SO,492.70,2023-2024
"Tatge, Hannah",SJU/CSB,Female,SR,508.49,2023-2024
"Vicker, Emma",SJU/CSB,Female,SR,396.40,2023-2024
"Wagner, Emi",SJU/CSB,Female,SR,610.00,2023-2024
"Bloedow, Daniel R",Saint Olaf,Male,SR,585.70,2023-2024
"Chant, Jaden",Saint Olaf,Male,SR,623.45,2023-2024
"Erickson, Jeremiah J",Saint Olaf,Male,FR,328.45,2023-2024
"Gabrielson, Wyatt",Saint Olaf,Male,FR,–,2023-2024
"Giddings, Beau D",Saint Olaf,Male,SO,515.40,2023-2024
"Griffey-Byram, Leo",Saint Olaf,Male,SO,320.45,2023-2024
"Gusdal, Benjamin H",Saint Olaf,Male,JR,520.00,2023-2024
"Hanifl, Paul ""oscar""",Saint Olaf,Male,SR,–,2023-2024
"Hauck, Marcus",Saint Olaf,Male,SR,597.10,2023-2024
"Kimmel, Miles A",Saint Olaf,Male,SO,423.75,2023-2024
"Martin, Caleb",Saint Olaf,Male,JR,–,2023-2024
"Miller, Travis",Saint Olaf,Male,SR,386.90,2023-2024
"Nevins, Avery H",Saint Olaf,Male,JR,495.40,2023-2024
"Ravndal, Grant",Saint Olaf,Male,SO,482.95,2023-2024
"Starcevich, Nick R",Saint Olaf,Male,SO,649.85,2023-2024
"Turner, Michael R",Saint Olaf,Male,SR,395.60,2023-2024
"Wallace, William M",Saint Olaf,Male,SO,622.50,2023-2024
"Yung, Aiden G",Saint Olaf,Male,SO,564.80,2023-2024
"CUCCHIARO, ALEXANDRA M",Saint Olaf,Female,JR,502.22,2023-2024
"Fairbanks, Karoline A",Saint Olaf,Female,JR,334.85,2023-2024
"Hauck, Tatum",Saint Olaf,Female,SR,616.40,2023-2024
"Heim, Theron H",Saint Olaf,Female,FR,399.60,2023-2024
"Hopewell, Olivia",Saint Olaf,Female,SO,473.20,2023-2024
"Huber, Kayli",Saint Olaf,Female,SR,439.25,2023-2024
"Johnson, Mara R",Saint Olaf,Female,SR,427.70,2023-2024
"Kallop, Ava P",Saint Olaf,Female,SO,467.10,2023-2024
"Krueger-Barth, Rowan",Saint Olaf,Female,SO,508.90,2023-2024
"Murphy, Charlotte I",Saint Olaf,Female,FR,495.40,2023-2024
"Narveson, Christina",Saint Olaf,Female,SR,452.55,2023-2024
"Olson, Rachael",Saint Olaf,Female,SO,426.00,2023-2024
"Porrata, Elena L",Saint Olaf,Female,SO,545.65,2023-2024
"Richey, Hannah",Saint Olaf,Female,SR,–,2023-2024
"Roberts, Zoe R",Saint Olaf,Female,SO,340.80,2023-2024
"Roth, Evgenia",Saint Olaf,Female,SO,–,2023-2024
"Schmidt, Della J",Saint Olaf,Female,FR,421.25,2023-2024
"Schmitzer, Alana E",Saint Olaf,Female,FR,567.10,2023-2024
"Steenblock, Paige G",Saint Olaf,Female,SO,596.00,2023-2024
"Stumpf, Rachel G",Saint Olaf,Female,SR,549.90,2023-2024
"Sylvester, Samantha M",Saint Olaf,Female,FR,557.35,2023-2024
"Thomson, Charlotte M",Saint Olaf,Female,SR,576.90,2023-2024
"Treanor, Izzy",Saint Olaf,Female,SR,–,2023-2024
"Varley, Ellen",Saint Olaf,Female,JR,567.80,2023-2024
"Wilcox, Alison R",Saint Olaf,Female,SR,440.45,2023-2024
