swimmer,team,gender,class_yr,points,season
"Ohrtman, Jonah A",Gustavus,Male,FR,589.35,2024-2025
"Reilly, Jack C",Gustavus,Male,FR,495.30,2024-2025
"Richardson, Peyton",Gustavus,Male,–,688.55,2024-2025
"Ricker, Joseph",Gustavus,Male,SR,496.80,2024-2025
"Riekels, Gerrit T",Gustavus,Male,–,–,2024-2025
"Ripken, Braden L",Gustavus,Male,SO,737.10,2024-2025
"Ripken, Kieran",Gustavus,Male,–,–,2024-2025
"Robischon, Jacob",Gustavus,Male,FR,622.70,2024-2025
"Rossow, Teddy",Gustavus,Male,–,–,2024-2025
"Rowan, Jonathan R",Gustavus,Male,SO,371.70,2024-2025
"Sarkinen, Cole T",Gustavus,Male,SO,406.60,2024-2025
"Sarkinen, Will A",Gustavus,Male,JR,549.40,2024-2025
"Sauze, Michael",Gustavus,Male,SO,–,2024-2025
"Schindler, Logan T",Gustavus,Male,–,–,2024-2025
"Shermak, Aiden R",Gustavus,Male,SO,617.45,2024-2025
"Smith, Henry M",Gustavus,Male,FR,409.35,2024-2025
"Solensky, Theodore H",Gustavus,Male,SO,567.60,2024-2025
"Strom, Matthew J",Gustavus,Male,–,–,2024-2025
"Teichmiller, Tyler",Gustavus,Male,–,–,2024-2025
"Vaupel, Landon D",Gustavus,Male,SO,630.25,2024-2025
"Verwest, Matthew L",Gustavus,Male,FR,503.30,2024-2025
"Wangsness, Luke",Gustavus,Male,SO,415.40,2024-2025
"Wilcek, Brandon P",Gustavus,Male,JR,678.25,2024-2025
"Amundson, Alexa I",Gustavus,Female,FR,429.00,2024-2025
"Anderson Moye, Stella V",Gustavus,Female,SO,593.00,2024-2025
"Anderson, Emily",Gustavus,Female,FR,399.90,2024-2025
"Arp, Abby",Gustavus,Female,SR,448.20,2024-2025
"Artley, Elisabeth J",Gustavus,Female,SR,500.30,2024-2025
"Baar, Michaela B",Gustavus,Female,FR,431.50,2024-2025
"Bader, Ursula I",Gustavus,Female,SR,478.75,2024-2025
"Bjorklund, Callie S",Gustavus,Female,FR,448.70,2024-2025
"Castillo, Mariel",Gustavus,Female,–,–,2024-2025
"Cooper, Eloise R",Gustavus,Female,FR,548.55,2024-2025
"Coppersmith, Kendall M",Gustavus,Female,SO,545.45,2024-2025
"DeSotel, Caelyn R",Gustavus,Female,FR,340.30,2024-2025
"Dickerson, Emmalyn J",Gustavus,Female,–,–,2024-2025
"Ewer, Hannah G",Gustavus,Female,–,–,2024-2025
"Fackler, Geneva L",Gustavus,Female,FR,645.75,2024-2025
"Fisher, Nola",Gustavus,Female,SO,558.30,2024-2025
"Foust, Allison E",Gustavus,Female,SO,–,2024-2025
"Gatti, Teresa D",Gustavus,Female,FR,545.10,2024-2025
"Groth, Mackenzie L",Gustavus,Female,–,–,2024-2025
"Hall, Erin",Gustavus,Female,SO,–,2024-2025
"Isaacson, Marit K",Gustavus,Female,SR,641.85,2024-2025
"Jass, Teegan",Gustavus,Female,–,–,2024-2025
"Johnson, Chelsy M",Gustavus,Female,–,–,2024-2025
"Johnson, Ellie M",Gustavus,Female,JR,477.20,2024-2025
"jones, greer b",Gustavus,Female,FR,500.15,2024-2025
"Koeneman, Olivia J",Gustavus,Female,SO,544.90,2024-2025
"Koenigs, Jemma M",Gustavus,Female,SR,–,2024-2025
"Krause, Sommer E",Gustavus,Female,FR,547.10,2024-2025
"Lozinski, Libby",Gustavus,Female,JR,482.95,2024-2025
"Mattson, Ella V",Gustavus,Female,SO,–,2024-2025
"McFarlane, Ellen",Gustavus,Female,FR,411.90,2024-2025
"Mellgren, Abbie",Gustavus,Female,SO,–,2024-2025
"Ohashi Berg, Annika",Gustavus,Female,FR,–,2024-2025
"Oian Vust, Regan C",Gustavus,Female,SO,409.65,2024-2025
"Olson, Samantha M",Gustavus,Female,SO,434.55,2024-2025
"Otto, Caitlyn T",Gustavus,Female,FR,575.65,2024-2025
"Pagelkopf, Jessica",Gustavus,Female,SO,–,2024-2025
"Peterson, Lucy",Gustavus,Female,–,–,2024-2025
"Pratt, Kaija",Gustavus,Female,–,–,2024-2025
"Prowse, Sydney J",Gustavus,Female,SR,511.95,2024-2025
"Reinsmoen, Linnea M",Gustavus,Female,FR,577.75,2024-2025
"Rooney, McKenna R",Gustavus,Female,JR,351.80,2024-2025
"Scheeler, Olivia R",Gustavus,Female,SO,531.55,2024-2025
"Schilling, Madeleine R",Gustavus,Female,FR,353.55,2024-2025
"Siers, Katelyn J",Gustavus,Female,FR,594.30,2024-2025
"Soukup, Leah",Gustavus,Female,–,–,2024-2025
"Sprow, Reese E",Gustavus,Female,SR,457.10,2024-2025
"Stokesbary, Madison E",Gustavus,Female,–,–,2024-2025
"Stoudt, Gabriella",Gustavus,Female,JR,–,2024-2025
"Sundby, Lindsay R",Gustavus,Female,JR,583.15,2024-2025
"Symreng, Felicia L",Gustavus,Female,SO,525.45,2024-2025
"Thiss, Nora M",Gustavus,Female,SO,422.95,2024-2025
"Thomas, Kassidy M",Gustavus,Female,JR,422.85,2024-2025
"Thomson, Megan",Gustavus,Female,JR,478.75,2024-2025
"Trifilette Simons, Mia B",Gustavus,Female,FR,546.95,2024-2025
"Van Den Heuvel, Bella A",Gustavus,Female,SR,485.60,2024-2025
"Villa, Samantha R",Gustavus,Female,FR,504.00,2024-2025
"Wagner, Grace A",Gustavus,Female,JR,477.05,2024-2025
"Wartner, Hadley A",Gustavus,Female,SO,551.10,2024-2025
"Whitlock, Macey",Gustavus,Female,SR,–,2024-2025
"Witte, Madison L",Gustavus,Female,SO,531.05,2024-2025
"Witte, Mikayla R",Gustavus,Female,SR,539.55,2024-2025
"Wunschel, Autumn M",Gustavus,Female,FR,394.60,2024-2025
"Zebell, Laura",Gustavus,Female,SO,415.10,2024-2025
"Ziegler, Madeline G",Gustavus,Female,SR,515.75,2024-2025
"Bossou, Kevin k",Hamline,Male,JR,–,2024-2025
"DeClue, Andy",Hamline,Male,FR,414.70,2024-2025
"Poeschel, Evan",Hamline,Male,JR,257.45,2024-2025
"Popa, Tristan T",Hamline,Male,FR,390.70,2024-2025
"Poscher, Nelson-Manfred M",Hamline,Male,FR,435.65,2024-2025
"Purrington, Dylan P",Hamline,Male,SR,595.25,2024-2025
"Shaffer, Augustus P",Hamline,Male,FR,440.40,2024-2025
"Dawson, Coretta",Hamline,Female,FR,393.45,2024-2025
"Frederick, Brooke M",Hamline,Female,JR,332.05,2024-2025
"Hegg, Makayla J",Hamline,Female,SR,300.05,2024-2025
"Morrison, Natalie R",Hamline,Female,FR,225.95,2024-2025
"Phillips, Nicole A",Hamline,Female,SR,435.20,2024-2025
"Puente Infante, Milla",Hamline,Female,JR,429.70,2024-2025
"Skaja, Samantha R",Hamline,Female,FR,431.75,2024-2025
"Sorenson-Wagner, Ellsa D",Hamline,Female,FR,476.55,2024-2025
"Stadheim, Isabella Q",Hamline,Female,JR,367.05,2024-2025
"Tschida, Audrey",Hamline,Female,SR,–,2024-2025
"Watson, Kate A",Hamline,Female,FR,261.16,2024-2025
"Yurttas, Sila",Hamline,Female,SR,557.35,2024-2025
"Allen, Boden J",Macalester,Male,FR,542.40,2024-2025
"Batsaikhan, Munkhbat C",Macalester,Male,SR,684.30,2024-2025
"Chen, Alec G",Macalester,Male,JR,502.80,2024-2025
"Chi, Devinn H",Macalester,Male,FR,320.35,2024-2025
"Desouza-Chen, Kynan",Macalester,Male,JR,446.70,2024-2025
"Fanning, Jay",Macalester,Male,SR,–,2024-2025
"Glynn, John R",Macalester,Male,FR,422.40,2024-2025
"Haby, William K",Macalester,Male,SO,529.00,2024-2025
"Herlihy, Dylan",Macalester,Male,JR,–,2024-2025
"Kisker, Isaac J",Macalester,Male,SR,569.25,2024-2025
"Lewin, Ben w",Macalester,Male,SR,474.95,2024-2025
"McNeff, Ryan D",Macalester,Male,SR,452.05,2024-2025
"Meretta, Casey S",Macalester,Male,JR,529.75,2024-2025
"Mickelborough, Ryan J",Macalester,Male,SO,518.45,2024-2025
"Moore, Thomas A",Macalester,Male,SO,631.60,2024-2025
"Nicholson, William",Macalester,Male,–,–,2024-2025
"Overton, Tilghman E",Macalester,Male,FR,500.10,2024-2025
"PAJARILLAGA, Kean",Macalester,Male,FR,610.25,2024-2025
"Palli, Taran",Macalester,Male,JR,592.20,2024-2025
"Pryzby, Brian",Macalester,Male,–,–,2024-2025
"Ray, Gunnar S",Macalester,Male,FR,374.35,2024-2025
"Schumacher, John B",Macalester,Male,FR,544.90,2024-2025
"Simpson, Peter J",Macalester,Male,SO,445.90,2024-2025
"St. John, William A",Macalester,Male,JR,611.25,2024-2025
"Taufen, Maxwell P",Macalester,Male,FR,600.45,2024-2025
"Thompson, Bode K",Macalester,Male,FR,539.30,2024-2025
"Villarama, Ramier S",Macalester,Male,SR,453.95,2024-2025
"Batsaikhan, Munkh-Enkh E",Macalester,Female,SR,464.35,2024-2025
"Capecci, Isabel V",Macalester,Female,–,–,2024-2025
"Chapon, Caroline A",Macalester,Female,SR,623.05,2024-2025
"Chopskie, Megan",Macalester,Female,SO,503.60,2024-2025
"Cox-Faxon, Izabel",Macalester,Female,SR,425.75,2024-2025
"Curran, Polly C",Macalester,Female,–,–,2024-2025
"Devitt, Anne N",Macalester,Female,SO,295.40,2024-2025
"Farrer, Alyson C",Macalester,Female,JR,403.50,2024-2025
"Goh, Julia K",Macalester,Female,FR,460.10,2024-2025
"Green, Sonya C",Macalester,Female,SR,437.85,2024-2025
"Henry, Emma L",Macalester,Female,JR,581.75,2024-2025
"Hensel, Annika L",Macalester,Female,FR,463.30,2024-2025
"Hinz, Saffron P",Macalester,Female,–,–,2024-2025
"Isbell, Anastacia N",Macalester,Female,–,–,2024-2025
"Johnson, Olivia L",Macalester,Female,SR,543.50,2024-2025
"Koelbel, Danielle K",Macalester,Female,SO,398.30,2024-2025
"Koplovsky, Alex",Macalester,Female,FR,–,2024-2025
"Lanz, Nadia G",Macalester,Female,JR,565.85,2024-2025
"Malone, Adelyn",Macalester,Female,SO,493.60,2024-2025
"Marcotullio, Isabella X",Macalester,Female,JR,430.95,2024-2025
"Martinson, Abbie",Macalester,Female,FR,429.45,2024-2025
"Merkadeau, Olga",Macalester,Female,SR,607.35,2024-2025
"Nilson, Melina",Macalester,Female,SR,428.10,2024-2025
"Nuckolls, Madeleine K",Macalester,Female,FR,592.15,2024-2025
"Parker, Eleanor E",Macalester,Female,SR,399.52,2024-2025
"Petrin, Eleanor",Macalester,Female,SR,511.80,2024-2025
"Pollock, Natalie E",Macalester,Female,SR,568.00,2024-2025
"Porter, Paige T",Macalester,Female,–,–,2024-2025
"Radke, Jocelyn A",Macalester,Female,–,–,2024-2025
"Schmit, Skye E",Macalester,Female,JR,609.70,2024-2025
"Schutz, Lauren-Anne",Macalester,Female,SR,–,2024-2025
"Shields, Amalia A",Macalester,Female,FR,592.75,2024-2025
"Stretanski, Claire",Macalester,Female,SO,470.70,2024-2025
"Tellez, Maya E",Macalester,Female,FR,609.50,2024-2025
"Thomas, Maya W",Macalester,Female,FR,–,2024-2025
"Tilzer, Nicole E",Macalester,Female,SO,462.60,2024-2025
"Uhlhorn-Thornton, Isabella",Macalester,Female,JR,629.60,2024-2025
"Williams, Laura A",Macalester,Female,SO,–,2024-2025
"Wolking, Carolyn H",Macalester,Female,FR,540.75,2024-2025
"Wooden, Zahra",Macalester,Female,FR,–,2024-2025
"Wray-Raabolle, Verity C",Macalester,Female,SR,645.30,2024-2025
"Wurtz, Anna I",Macalester,Female,FR,472.35,2024-2025
"Yehle, Kate",Macalester,Female,SR,–,2024-2025
"Zurn, Hannah A",Macalester,Female,JR,565.65,2024-2025
"Bradley, Shea E",Saint Kate's,Female,SO,494.00,2024-2025
"Chandler, Natalie J",Saint Kate's,Female,JR,535.20,2024-2025
"Chikowero, Maka",Saint Kate's,Female,JR,387.30,2024-2025
"Cook, Clare",Saint Kate's,Female,SO,407.90,2024-2025
"Dombroski, Jillian",Saint Kate's,Female,SR,574.05,2024-2025
"Doom, Avery K",Saint Kate's,Female,FR,520.95,2024-2025
"Galazen, Madeline",Saint Kate's,Female,FR,–,2024-2025
"Gilman, Elizabeth A",Saint Kate's,Female,FR,363.50,2024-2025
"Grotbo, Jordyn E",Saint Kate's,Female,SO,565.40,2024-2025
"Gupta, Mira R",Saint Kate's,Female,FR,453.40,2024-2025
"Hacker, Ava J",Saint Kate's,Female,SO,509.40,2024-2025
"Harvey, Nicolette K",Saint Kate's,Female,JR,553.70,2024-2025
"Hermansen, Sierra G",Saint Kate's,Female,JR,476.15,2024-2025
"Hochstetler, Ella G",Saint Kate's,Female,JR,615.35,2024-2025
"Hocking, Amelia S",Saint Kate's,Female,SR,411.70,2024-2025
"Johnson, Charlotte R",Saint Kate's,Female,SO,447.70,2024-2025
"Mckeon, Eloise M",Saint Kate's,Female,SO,422.95,2024-2025
"Morgan, Macey",Saint Kate's,Female,FR,–,2024-2025
"Peterson, Juliet",Saint Kate's,Female,SO,–,2024-2025
"Pollard, Richanta C",Saint Kate's,Female,SO,404.30,2024-2025
"Svendsen, Emma K",Saint Kate's,Female,SR,618.80,2024-2025
"Walsh, Carys R",Saint Kate's,Female,FR,402.85,2024-2025
"Weil, Olivia F",Saint Kate's,Female,JR,612.05,2024-2025
"Anderson, Samuel J",SJU/CSB,Male,–,–,2024-2025
"Arntson, Maximillion D",SJU/CSB,Male,SO,439.85,2024-2025
"Avent, Elijah K",SJU/CSB,Male,SO,–,2024-2025
"Barton, Trevor C",SJU/CSB,Male,SO,580.35,2024-2025
"Close, Brennan W",SJU/CSB,Male,SO,479.80,2024-2025
"Davies, Jack",SJU/CSB,Male,SO,–,2024-2025
"Edwards, Benjamin J",SJU/CSB,Male,SO,440.05,2024-2025
"Edwards, Samuel L",SJU/CSB,Male,JR,–,2024-2025
"Flores, Luis A",SJU/CSB,Male,SO,468.05,2024-2025
"Fuller, Joseph C",SJU/CSB,Male,JR,329.60,2024-2025
"Gaspard, Dylan P",SJU/CSB,Male,FR,361.00,2024-2025
"Grabinski, Elijah E",SJU/CSB,Male,SR,–,2024-2025
"Heer, Alex G",SJU/CSB,Male,–,–,2024-2025
"Hilgendorf, Henry F",SJU/CSB,Male,FR,–,2024-2025
"Hovda, Jackson D",SJU/CSB,Male,FR,522.40,2024-2025
"Jones, Jason A",SJU/CSB,Male,FR,558.60,2024-2025
"Kern, Colby N",SJU/CSB,Male,SR,634.75,2024-2025
"King, Alex M",SJU/CSB,Male,SO,–,2024-2025
"Krotzer, Nate O",SJU/CSB,Male,FR,384.55,2024-2025
"Larson, Carter S",SJU/CSB,Male,SR,705.40,2024-2025
"Megaw, Clay W",SJU/CSB,Male,JR,618.20,2024-2025
"Noble, Liam T",SJU/CSB,Male,SR,605.45,2024-2025
"Nyangamoi, Simon L",SJU/CSB,Male,SO,457.55,2024-2025
"O'Donnel, Brogan P",SJU/CSB,Male,–,–,2024-2025
"Philion, Langston R",SJU/CSB,Male,SR,546.60,2024-2025
"Queiroz, John B",SJU/CSB,Male,–,–,2024-2025
"Reuter, Carsten D",SJU/CSB,Male,JR,636.90,2024-2025
"Rios, Rafael",SJU/CSB,Male,–,–,2024-2025
"Roggeman, Andrew M",SJU/CSB,Male,JR,474.45,2024-2025
"Rotter, Timothy A",SJU/CSB,Male,JR,–,2024-2025
"Ruoff, Zac J",SJU/CSB,Male,SR,535.14,2024-2025
"Scanlon, Parker O",SJU/CSB,Male,–,–,2024-2025
"Schreifels, Cameron J",SJU/CSB,Male,JR,482.35,2024-2025
"Siyad, Sakariye A",SJU/CSB,Male,–,–,2024-2025
"Slavik, Brayden J",SJU/CSB,Male,JR,759.70,2024-2025
"Snyder, Hayden T",SJU/CSB,Male,FR,372.85,2024-2025
"Spangler, Scott C",SJU/CSB,Male,–,–,2024-2025
"Teeter, Travis L",SJU/CSB,Male,–,–,2024-2025
"Thayer, Connor M",SJU/CSB,Male,SR,592.25,2024-2025
"Tschida, Jake E",SJU/CSB,Male,SR,452.00,2024-2025
"Watts, Cody",SJU/CSB,Male,SO,–,2024-2025
"West, Jack P",SJU/CSB,Male,SR,476.55,2024-2025
"Yerks, Riley B",SJU/CSB,Male,FR,464.80,2024-2025
"Alholm, Jayda",SJU/CSB,Female,SO,491.50,2024-2025
"Bartels, Megan J",SJU/CSB,Female,JR,511.30,2024-2025
"Boomgaarden, Anna G",SJU/CSB,Female,SO,388.25,2024-2025
"Canfield, Claire A",SJU/CSB,Female,SO,575.65,2024-2025
"Hansen, Elizabeth G",SJU/CSB,Female,JR,493.15,2024-2025
"Haskamp, Mikayla L",SJU/CSB,Female,JR,479.70,2024-2025
"Jackson, Josephine M",SJU/CSB,Female,SO,458.80,2024-2025
"Kortuem, Alivia C",SJU/CSB,Female,FR,498.65,2024-2025
"Kowalczyk, Ella",SJU/CSB,Female,SO,–,2024-2025
"Kraft, Sadie",SJU/CSB,Female,SO,–,2024-2025
"Larson, Autumn R",SJU/CSB,Female,FR,458.85,2024-2025
"Morphew, Grace",SJU/CSB,Female,FR,427.85,2024-2025
"Morris, Mary T",SJU/CSB,Female,SO,629.90,2024-2025
"Neely, Emma R",SJU/CSB,Female,SO,429.00,2024-2025
"Netland, Emma J",SJU/CSB,Female,FR,–,2024-2025
"Niksich, Ava R",SJU/CSB,Female,FR,465.25,2024-2025
"Oswald, Emily K",SJU/CSB,Female,SO,386.90,2024-2025
"Pfau, Natalie R",SJU/CSB,Female,FR,452.85,2024-2025
"Pratt, Emelia M",SJU/CSB,Female,FR,454.70,2024-2025
"Schlueter, Rachel V",SJU/CSB,Female,JR,588.25,2024-2025
"Sitzman, Lauren M",SJU/CSB,Female,JR,518.30,2024-2025
"Stevens, Abigail M",SJU/CSB,Female,FR,–,2024-2025
"Stout, Morgan M",SJU/CSB,Female,JR,506.95,2024-2025
"Stutelberg, Madelyn E",SJU/CSB,Female,FR,468.80,2024-2025
"Andersen, Noah",Saint Olaf,Male,FR,410.30,2024-2025
"Cameron, Daniel P",Saint Olaf,Male,FR,572.75,2024-2025
"Chong, Dobbin N",Saint Olaf,Male,FR,549.35,2024-2025
"Clark, Quinn S",Saint Olaf,Male,FR,401.90,2024-2025
"Cox, Nathaniel J",Saint Olaf,Male,FR,403.15,2024-2025
"Elling, Travis M",Saint Olaf,Male,FR,604.10,2024-2025
"Giddings, Beau D",Saint Olaf,Male,JR,474.30,2024-2025
"Griffey-Byram, Leo",Saint Olaf,Male,JR,310.00,2024-2025
"Gusdal, Benjamin H",Saint Olaf,Male,SR,509.60,2024-2025
"Hauck, Marcus",Saint Olaf,Male,–,569.90,2024-2025
"Homme, Jackson J",Saint Olaf,Male,SO,588.20,2024-2025
"Kimmel, Miles A",Saint Olaf,Male,JR,–,2024-2025
"Loerzel, Jacob G",Saint Olaf,Male,FR,426.30,2024-2025
"Nevins, Avery H",Saint Olaf,Male,SR,497.50,2024-2025
"Ravndal, Grant",Saint Olaf,Male,JR,496.10,2024-2025
"Roberts, Nathaniel",Saint Olaf,Male,FR,407.75,2024-2025
"Starcevich, Nick R",Saint Olaf,Male,JR,656.95,2024-2025
"Thronson, Mitchell",Saint Olaf,Male,FR,574.25,2024-2025
"Wallace, William M",Saint Olaf,Male,JR,578.60,2024-2025
"Williams, Luke M",Saint Olaf,Male,SO,469.90,2024-2025
"Yung, Aiden G",Saint Olaf,Male,JR,588.95,2024-2025
"Appleton, Ava B",Saint Olaf,Female,FR,–,2024-2025
"Bell, Karissa E",Saint Olaf,Female,FR,532.10,2024-2025
"Carr, Savannah",Saint Olaf,Female,FR,–,2024-2025
"CUCCHIARO, ALEXANDRA M",Saint Olaf,Female,SR,410.61,2024-2025
