swimmer,team,gender,class_yr,points,season
"Rosenberg, Ashley N",Carleton,Female,SR,NA,2024-2025
"Russell, Brenna",Carleton,Female,SR,NA,2024-2025
"SACHS, AVIVA T",Carleton,Female,JR,393.65,2024-2025
"Schwab, Nina R",Carleton,Female,FR,NA,2024-2025
"Shaker, Ava",Carleton,Female,SO,475.7,2024-2025
"Sheridan, Samantha K",Carleton,Female,SR,NA,2024-2025
"Soillis, Lillian M",Carleton,Female,FR,492.15,2024-2025
"Taraday, Lola S",Carleton,Female,JR,441.7,2024-2025
"Trackman, Alison J",Carleton,Female,JR,423.45,2024-2025
"Tran, Aubrey M",Carleton,Female,SO,466.8,2024-2025
"Tucker, Daya V",Carleton,Female,SO,527.3,2024-2025
"Westrup, Hailey J",Carleton,Female,SO,NA,2024-2025
"Wong, Lily S",Carleton,Female,JR,518.8,2024-2025
"Wootten, Nora",Carleton,Female,SO,518.3,2024-2025
"Yao, Emma",Carleton,Female,SO,575.75,2024-2025
"Yu, Hope",Carleton,Female,JR,NA,2024-2025
"Barlage, Madelyn",Concordia-Moorhead,Female,JR,307.3,2024-2025
"Baugh, Chea L",Concordia-Moorhead,Female,SO,NA,2024-2025
"Bjorklund, Greta",Concordia-Moorhead,Female,NA,247.3,2024-2025
"Bringle, Rachel",Concordia-Moorhead,Female,NA,326.1,2024-2025
"Darling, Kiernan",Concordia-Moorhead,Female,SR,NA,2024-2025
"Enedy, Leah",Concordia-Moorhead,Female,NA,468.6,2024-2025
"Imholte, Haley",Concordia-Moorhead,Female,NA,338.55,2024-2025
"Jaeger, Hailey C",Concordia-Moorhead,Female,SR,496.85,2024-2025
"Juetten, Haley",Concordia-Moorhead,Female,JR,NA,2024-2025
"McMullen, Amelia",Concordia-Moorhead,Female,NA,NA,2024-2025
"Metsala, Callie A",Concordia-Moorhead,Female,SO,568.55,2024-2025
"Moore, Christina J",Concordia-Moorhead,Female,JR,339.25,2024-2025
"Negri, Sydney",Concordia-Moorhead,Female,SO,NA,2024-2025
"Nhantumbo, Royce",Concordia-Moorhead,Female,NA,NA,2024-2025
"Porter, Tinsley",Concordia-Moorhead,Female,JR,384.95,2024-2025
"Timm, Brienna",Concordia-Moorhead,Female,NA,NA,2024-2025
"Braley, Logan",Gustavus,Male,JR,543.1,2024-2025
"Carlson, Aiden C",Gustavus,Male,SO,541.75,2024-2025
"Cheema, Nihal S",Gustavus,Male,FR,416,2024-2025
"Christoferson, Jack E",Gustavus,Male,JR,527.55,2024-2025
"Collins, Brendan M",Gustavus,Male,SO,558.75,2024-2025
"Copple, Kade R",Gustavus,Male,NA,NA,2024-2025
"Cordano, Jonathan",Gustavus,Male,SR,584.45,2024-2025
"Cote, Mason J",Gustavus,Male,FR,571.25,2024-2025
"Cyr, Logan J",Gustavus,Male,SO,575.55,2024-2025
"Friedrichs, James J",Gustavus,Male,NA,421.6,2024-2025
"Friedrichs, Jimmy",Gustavus,Male,FR,375.55,2024-2025
"Gustafson, Finley",Gustavus,Male,FR,530.05,2024-2025
"Hemstad, Trygg D",Gustavus,Male,SO,374.05,2024-2025
"Hill, Nyden F",Gustavus,Male,SR,633.1,2024-2025
"Hoff, Alex R",Gustavus,Male,JR,NA,2024-2025
"Jensen, Andrew Y",Gustavus,Male,NA,NA,2024-2025
"Johnson, Alex",Gustavus,Male,SR,498.2,2024-2025
"Johnson, Trevor D",Gustavus,Male,JR,NA,2024-2025
"Kauffman, Tyler",Gustavus,Male,SO,513.2,2024-2025
"Kell, Benjamin T",Gustavus,Male,SO,548.5,2024-2025
"Kline, Carter",Gustavus,Male,FR,NA,2024-2025
"Lester, Ryan",Gustavus,Male,SR,NA,2024-2025
"Lillejord, Matthew T",Gustavus,Male,SO,544.5,2024-2025
"Lund, James D",Gustavus,Male,SO,NA,2024-2025
"Malecha, Bryce",Gustavus,Male,NA,NA,2024-2025
"Matetich, Cole",Gustavus,Male,SR,NA,2024-2025
"McCormick, Colin R",Gustavus,Male,FR,479.9,2024-2025
"Mellum, Leo R",Gustavus,Male,FR,445.45,2024-2025
"Metzger, Jacob J",Gustavus,Male,SR,528.55,2024-2025
"Moran, John",Gustavus,Male,JR,402.45,2024-2025
"Muench, Graham W",Gustavus,Male,SO,NA,2024-2025
"Myers, Fred",Gustavus,Male,FR,564.95,2024-2025
"Nguyen, Marcus V",Gustavus,Male,SR,476.05,2024-2025
"Ohrtman, Jonah A",Gustavus,Male,FR,536.6,2024-2025
"Reilly, Jack C",Gustavus,Male,FR,495.3,2024-2025
"Richardson, Peyton",Gustavus,Male,SR,674.05,2024-2025
"Ricker, Joseph",Gustavus,Male,SR,496.8,2024-2025
"Riekels, Gerrit T",Gustavus,Male,NA,NA,2024-2025
"Ripken, Braden L",Gustavus,Male,SO,635.1,2024-2025
"Ripken, Kieran",Gustavus,Male,NA,NA,2024-2025
"Robischon, Jacob",Gustavus,Male,FR,539.4,2024-2025
"Rossow, Teddy",Gustavus,Male,NA,NA,2024-2025
"Rowan, Jonathan R",Gustavus,Male,SO,371.7,2024-2025
"Sarkinen, Cole T",Gustavus,Male,SO,406.6,2024-2025
"Sarkinen, Will A",Gustavus,Male,JR,516.45,2024-2025
"Sauze, Michael",Gustavus,Male,SO,NA,2024-2025
"Schindler, Logan T",Gustavus,Male,NA,NA,2024-2025
"Shermak, Aiden R",Gustavus,Male,SO,544.95,2024-2025
"Smith, Henry M",Gustavus,Male,FR,409.35,2024-2025
"Solensky, Theodore H",Gustavus,Male,SO,567.6,2024-2025
"Strom, Matthew J",Gustavus,Male,NA,NA,2024-2025
"Teichmiller, Tyler",Gustavus,Male,NA,NA,2024-2025
"Vaupel, Landon D",Gustavus,Male,SO,620.45,2024-2025
"Verwest, Matthew L",Gustavus,Male,FR,503.3,2024-2025
"Wangsness, Luke",Gustavus,Male,SO,415.4,2024-2025
"Wilcek, Brandon P",Gustavus,Male,JR,595.95,2024-2025
"Amundson, Alexa I",Gustavus,Female,FR,429,2024-2025
"Anderson Moye, Stella V",Gustavus,Female,SO,558.4,2024-2025
"Anderson, Emily",Gustavus,Female,FR,399.9,2024-2025
"Arp, Abby",Gustavus,Female,SR,448.2,2024-2025
"Artley, Elisabeth J",Gustavus,Female,SR,500.3,2024-2025
"Baar, Michaela B",Gustavus,Female,FR,431.5,2024-2025
"Bader, Ursula I",Gustavus,Female,SR,478.75,2024-2025
"Bjorklund, Callie S",Gustavus,Female,FR,448.7,2024-2025
"Castillo, Mariel",Gustavus,Female,NA,NA,2024-2025
"Cooper, Eloise R",Gustavus,Female,FR,509.85,2024-2025
"Coppersmith, Kendall M",Gustavus,Female,SO,503.7,2024-2025
"DeSotel, Caelyn R",Gustavus,Female,FR,340.3,2024-2025
"Dickerson, Emmalyn J",Gustavus,Female,NA,NA,2024-2025
"Ewer, Hannah G",Gustavus,Female,NA,NA,2024-2025
"Fackler, Geneva L",Gustavus,Female,FR,606.4,2024-2025
"Fisher, Nola",Gustavus,Female,SO,558.3,2024-2025
"Foust, Allison E",Gustavus,Female,SO,NA,2024-2025
"Gatti, Teresa D",Gustavus,Female,FR,523.9,2024-2025
"Groth, Mackenzie L",Gustavus,Female,NA,NA,2024-2025
"Hall, Erin",Gustavus,Female,SO,NA,2024-2025
"Isaacson, Marit K",Gustavus,Female,SR,591.1,2024-2025
"Jass, Teegan",Gustavus,Female,NA,NA,2024-2025
"Johnson, Chelsy M",Gustavus,Female,NA,NA,2024-2025
"Johnson, Ellie M",Gustavus,Female,JR,477.2,2024-2025
"jones, greer b",Gustavus,Female,FR,500.15,2024-2025
"Koeneman, Olivia J",Gustavus,Female,SO,530.15,2024-2025
"Koenigs, Jemma M",Gustavus,Female,SR,NA,2024-2025
"Krause, Sommer E",Gustavus,Female,FR,535.25,2024-2025
"Lozinski, Libby",Gustavus,Female,JR,482.95,2024-2025
"Mattson, Ella V",Gustavus,Female,SO,NA,2024-2025
"McFarlane, Ellen",Gustavus,Female,FR,411.9,2024-2025
"Mellgren, Abbie",Gustavus,Female,SO,NA,2024-2025
"Ohashi Berg, Annika",Gustavus,Female,FR,NA,2024-2025
"Oian Vust, Regan C",Gustavus,Female,SO,409.65,2024-2025
"Olson, Samantha M",Gustavus,Female,SO,434.55,2024-2025
"Otto, Caitlyn T",Gustavus,Female,FR,550.05,2024-2025
"Pagelkopf, Jessica",Gustavus,Female,SO,NA,2024-2025
"Peterson, Lucy",Gustavus,Female,NA,NA,2024-2025
"Pratt, Kaija",Gustavus,Female,NA,NA,2024-2025
"Prowse, Sydney J",Gustavus,Female,SR,468.25,2024-2025
"Reinsmoen, Linnea M",Gustavus,Female,FR,577.75,2024-2025
"Rooney, McKenna R",Gustavus,Female,JR,351.8,2024-2025
"Scheeler, Olivia R",Gustavus,Female,SO,531.55,2024-2025
"Schilling, Madeleine R",Gustavus,Female,FR,353.55,2024-2025
"Siers, Katelyn J",Gustavus,Female,FR,537.95,2024-2025
"Soukup, Leah",Gustavus,Female,NA,NA,2024-2025
"Sprow, Reese E",Gustavus,Female,SR,457.1,2024-2025
"Stokesbary, Madison E",Gustavus,Female,NA,NA,2024-2025
"Stoudt, Gabriella",Gustavus,Female,JR,NA,2024-2025
"Sundby, Lindsay R",Gustavus,Female,JR,545.7,2024-2025
"Symreng, Felicia L",Gustavus,Female,SO,525.45,2024-2025
"Thiss, Nora M",Gustavus,Female,SO,422.95,2024-2025
"Thomas, Kassidy M",Gustavus,Female,JR,422.85,2024-2025
"Thomson, Megan",Gustavus,Female,JR,478.75,2024-2025
"Trifilette Simons, Mia B",Gustavus,Female,FR,546.95,2024-2025
"Van Den Heuvel, Bella A",Gustavus,Female,SR,485.6,2024-2025
"Villa, Samantha R",Gustavus,Female,FR,504,2024-2025
"Wagner, Grace A",Gustavus,Female,JR,477.05,2024-2025
"Wartner, Hadley A",Gustavus,Female,SO,514.55,2024-2025
"Whitlock, Macey",Gustavus,Female,SR,NA,2024-2025
"Witte, Madison L",Gustavus,Female,SO,509.95,2024-2025
"Witte, Mikayla R",Gustavus,Female,SR,495.2,2024-2025
"Wunschel, Autumn M",Gustavus,Female,FR,394.6,2024-2025
"Zebell, Laura",Gustavus,Female,SO,415.1,2024-2025
"Ziegler, Madeline",Gustavus,Female,SR,515.75,2024-2025
"Bossou, Kevin k",Hamline,Male,JR,NA,2024-2025
"DeClue, Andy",Hamline,Male,FR,402.3,2024-2025
"Poeschel, Evan",Hamline,Male,JR,241.6,2024-2025
"Popa, Tristan T",Hamline,Male,FR,370.1,2024-2025
"Poscher, Nelson-Manfred M",Hamline,Male,FR,393.25,2024-2025
"Purrington, Dylan P",Hamline,Male,SR,493.55,2024-2025
"Shaffer, Augustus P",Hamline,Male,FR,409.05,2024-2025
"Dawson, Coretta",Hamline,Female,FR,339.3,2024-2025
"Frederick, Brooke M",Hamline,Female,NA,310.05,2024-2025
"Hegg, Makayla J",Hamline,Female,SR,292.15,2024-2025
"Morrison, Natalie R",Hamline,Female,FR,196.1,2024-2025
"Phillips, Nicole A",Hamline,Female,SR,413.8,2024-2025
"Puente Infante, Milla",Hamline,Female,JR,384.95,2024-2025
"Skaja, Samantha R",Hamline,Female,FR,406.9,2024-2025
"Sorenson-Wagner, Ellsa D",Hamline,Female,FR,436,2024-2025
"Stadheim, Isabella Q",Hamline,Female,JR,300.85,2024-2025
"Tschida, Audrey",Hamline,Female,SR,NA,2024-2025
"Watson, Kate A",Hamline,Female,FR,245.56,2024-2025
"Yurttas, Sila",Hamline,Female,SR,506.95,2024-2025
"Allen, Boden J",Macalester,Male,FR,456.45,2024-2025
"Batsaikhan, Munkhbat C",Macalester,Male,SR,651.4,2024-2025
"Chen, Alec G",Macalester,Male,JR,463.85,2024-2025
"Chi, Devinn H",Macalester,Male,FR,320.35,2024-2025
"Desouza-Chen, Kynan",Macalester,Male,JR,446.7,2024-2025
"Fanning, Jay",Macalester,Male,SR,NA,2024-2025
"Glynn, John R",Macalester,Male,FR,422.4,2024-2025
"Haby, William K",Macalester,Male,SO,529,2024-2025
"Herlihy, Dylan",Macalester,Male,JR,NA,2024-2025
"Kisker, Isaac J",Macalester,Male,SR,569.25,2024-2025
"Lewin, Ben w",Macalester,Male,SR,423.05,2024-2025
"McNeff, Ryan D",Macalester,Male,SR,426.75,2024-2025
"Meretta, Casey S",Macalester,Male,JR,512.65,2024-2025
"Mickelborough, Ryan J",Macalester,Male,SO,449.45,2024-2025
"Moore, Thomas A",Macalester,Male,SO,631,2024-2025
"Nicholson, William",Macalester,Male,NA,NA,2024-2025
"Overton, Tilghman E",Macalester,Male,FR,421.65,2024-2025
"PAJARILLAGA, Kean",Macalester,Male,FR,601.85,2024-2025
"Palli, Taran",Macalester,Male,JR,592.2,2024-2025
"Pryzby, Brian",Macalester,Male,NA,NA,2024-2025
"Ray, Gunnar S",Macalester,Male,FR,374.35,2024-2025
"Schumacher, John B",Macalester,Male,FR,486.2,2024-2025
"Simpson, Peter J",Macalester,Male,SO,445.9,2024-2025
"St. John, William A",Macalester,Male,JR,580.9,2024-2025
"Taufen, Maxwell P",Macalester,Male,FR,593.25,2024-2025
"Thompson, Bode K",Macalester,Male,FR,507.05,2024-2025
"Villarama, Ramier S",Macalester,Male,SR,447.75,2024-2025
"Batsaikhan, Munkh-Enkh E",Macalester,Female,SR,464.35,2024-2025
"Capecci, Isabel V",Macalester,Female,NA,NA,2024-2025
"Chapon, Caroline A",Macalester,Female,SR,604.45,2024-2025
"Chopskie, Megan",Macalester,Female,SO,503.6,2024-2025
"Cox-Faxon, Izabel",Macalester,Female,SR,425.75,2024-2025
"Curran, Polly C",Macalester,Female,NA,NA,2024-2025
"Devitt, Anne N",Macalester,Female,SO,295.4,2024-2025
"Farrer, Alyson C",Macalester,Female,JR,403.5,2024-2025
"Goh, Julia K",Macalester,Female,FR,460.1,2024-2025
"Green, Sonya C",Macalester,Female,SR,437.85,2024-2025
"Henry, Emma L",Macalester,Female,JR,581.75,2024-2025
"Hensel, Annika L",Macalester,Female,FR,463.3,2024-2025
"Hinz, Saffron P",Macalester,Female,NA,NA,2024-2025
"Isbell, Anastacia N",Macalester,Female,NA,NA,2024-2025
"Johnson, Olivia L",Macalester,Female,SR,505.9,2024-2025
"Koelbel, Danielle K",Macalester,Female,SO,398.3,2024-2025
"Koplovsky, Alex",Macalester,Female,FR,NA,2024-2025
"Lanz, Nadia G",Macalester,Female,JR,490.55,2024-2025
"Malone, Adelyn",Macalester,Female,SO,493.6,2024-2025
"Marcotullio, Isabella X",Macalester,Female,JR,430.95,2024-2025
"Martinson, Abbie",Macalester,Female,FR,429.45,2024-2025
"Merkadeau, Olga",Macalester,Female,SR,568.65,2024-2025
"Nilson, Melina",Macalester,Female,SR,428.1,2024-2025
"Nuckolls, Madeleine K",Macalester,Female,FR,586.55,2024-2025
"Parker, Eleanor E",Macalester,Female,SR,399.52,2024-2025
"Petrin, Eleanor",Macalester,Female,SR,467.85,2024-2025
"Pollock, Natalie E",Macalester,Female,SR,565.45,2024-2025
"Porter, Paige T",Macalester,Female,NA,NA,2024-2025
"Radke, Jocelyn A",Macalester,Female,NA,NA,2024-2025
"Schmit, Skye E",Macalester,Female,JR,584.35,2024-2025
"Schutz, Lauren-Anne",Macalester,Female,SR,NA,2024-2025
"Shields, Amalia A",Macalester,Female,FR,591.85,2024-2025
"Stretanski, Claire",Macalester,Female,SO,470.7,2024-2025
"Tellez, Maya E",Macalester,Female,FR,593.85,2024-2025
"Thomas, Maya W",Macalester,Female,FR,NA,2024-2025
"Tilzer, Nicole E",Macalester,Female,SO,461.2,2024-2025
"Uhlhorn-Thornton, Isabella",Macalester,Female,JR,571.05,2024-2025
"Williams, Laura A",Macalester,Female,SO,NA,2024-2025
"Wolking, Carolyn H",Macalester,Female,FR,529.6,2024-2025
"Wooden, Zahra",Macalester,Female,FR,NA,2024-2025
"Wray-Raabolle, Verity C",Macalester,Female,SR,593.25,2024-2025
"Wurtz, Anna I",Macalester,Female,FR,460.3,2024-2025
"Yehle, Kate",Macalester,Female,SR,NA,2024-2025
"Zurn, Hannah A",Macalester,Female,JR,542.65,2024-2025
"Bradley, Shea E",St. Kate's,Female,SO,479.6,2024-2025
"Chandler, Natalie J",St. Kate's,Female,JR,484.15,2024-2025
"Chikowero, Maka",St. Kate's,Female,JR,386.75,2024-2025
"Cook, Clare",St. Kate's,Female,SO,397.25,2024-2025
"Dombroski, Jillian",St. Kate's,Female,SR,541.55,2024-2025
"Doom, Avery K",St. Kate's,Female,FR,493.95,2024-2025
"Galazen, Madeline",St. Kate's,Female,FR,NA,2024-2025
"Gilman, Elizabeth A",St. Kate's,Female,FR,363.5,2024-2025
"Grotbo, Jordyn E",St. Kate's,Female,SO,564.95,2024-2025
"Gupta, Mira R",St. Kate's,Female,FR,414.05,2024-2025
"Hacker, Ava J",St. Kate's,Female,SO,501.6,2024-2025
"Harvey, Nicolette K",St. Kate's,Female,JR,507.1,2024-2025
"Hermansen, Sierra G",St. Kate's,Female,JR,444.6,2024-2025
"Hochstetler, Ella G",St. Kate's,Female,JR,607.2,2024-2025
"Hocking, Amelia S",St. Kate's,Female,SR,411.7,2024-2025
"Johnson, Charlotte R",St. Kate's,Female,SO,410.35,2024-2025
"Mckeon, Eloise M",St. Kate's,Female,SO,407,2024-2025
"Morgan, Macey",St. Kate's,Female,FR,NA,2024-2025
"Peterson, Juliet",St. Kate's,Female,SO,NA,2024-2025
"Pollard, Richanta C",St. Kate's,Female,SO,397.1,2024-2025
"Svendsen, Emma K",St. Kate's,Female,SR,595.9,2024-2025
"Walsh, Carys R",St. Kate's,Female,FR,402.85,2024-2025
"Weil, Olivia F",St. Kate's,Female,JR,577.35,2024-2025
"Anderson, Samuel J",SJU/CSB,Male,NA,NA,2024-2025
"Arntson, Maximillion D",SJU/CSB,Male,SO,439.85,2024-2025
"Avent, Elijah K",SJU/CSB,Male,SO,NA,2024-2025
"Barton, Trevor C",SJU/CSB,Male,SO,506.1,2024-2025
"Close, Brennan W",SJU/CSB,Male,SO,479.8,2024-2025
"Davies, Jack",SJU/CSB,Male,SO,NA,2024-2025
"Edwards, Benjamin J",SJU/CSB,Male,SO,440.05,2024-2025
"Edwards, Samuel L",SJU/CSB,Male,JR,NA,2024-2025
"Flores, Luis A",SJU/CSB,Male,SO,468.05,2024-2025
"Fuller, Joseph C",SJU/CSB,Male,JR,329.6,2024-2025
"Gaspard, Dylan P",SJU/CSB,Male,FR,361,2024-2025
"Grabinski, Elijah E",SJU/CSB,Male,SR,NA,2024-2025
"Heer, Alex G",SJU/CSB,Male,NA,NA,2024-2025
"Hilgendorf, Henry F",SJU/CSB,Male,FR,NA,2024-2025
"Hovda, Jackson D",SJU/CSB,Male,FR,522.4,2024-2025
"Jones, Jason A",SJU/CSB,Male,FR,507.5,2024-2025
"Kern, Colby N",SJU/CSB,Male,SR,598.95,2024-2025
"King, Alex M",SJU/CSB,Male,SO,NA,2024-2025
"Krotzer, Nate O",SJU/CSB,Male,FR,384.55,2024-2025
"Larson, Carter S",SJU/CSB,Male,SR,655.35,2024-2025
"Megaw, Clay W",SJU/CSB,Male,JR,559.15,2024-2025
"Noble, Liam T",SJU/CSB,Male,SR,597.25,2024-2025
"Nyangamoi, Simon L",SJU/CSB,Male,SO,448.7,2024-2025
"O'Donnel, Brogan P",SJU/CSB,Male,NA,NA,2024-2025
"Philion, Langston R",SJU/CSB,Male,SR,531.75,2024-2025
"Queiroz, John B",SJU/CSB,Male,NA,NA,2024-2025
"Reuter, Carsten D",SJU/CSB,Male,JR,589.4,2024-2025
"Rios, Rafael",SJU/CSB,Male,NA,NA,2024-2025
"Roggeman, Andrew M",SJU/CSB,Male,JR,450.85,2024-2025
"Rotter, Timothy A",SJU/CSB,Male,JR,NA,2024-2025
"Ruoff, Zac J",SJU/CSB,Male,SR,463.07,2024-2025
"Scanlon, Parker O",SJU/CSB,Male,NA,NA,2024-2025
"Schreifels, Cameron J",SJU/CSB,Male,JR,447.65,2024-2025
"Siyad, Sakariye A",SJU/CSB,Male,NA,NA,2024-2025
"Slavik, Brayden J",SJU/CSB,Male,JR,709,2024-2025
"Snyder, Hayden T",SJU/CSB,Male,FR,372.85,2024-2025
"Spangler, Scott C",SJU/CSB,Male,NA,NA,2024-2025
"Teeter, Travis L",SJU/CSB,Male,NA,NA,2024-2025
"Thayer, Connor M",SJU/CSB,Male,SR,544.5,2024-2025
"Tschida, Jake E",SJU/CSB,Male,SR,452,2024-2025
"Watts, Cody",SJU/CSB,Male,SO,NA,2024-2025
"West, Jack P",SJU/CSB,Male,SR,476.55,2024-2025
"Yerks, Riley B",SJU/CSB,Male,FR,452.15,2024-2025
"Alholm, Jayda",SJU/CSB,Female,SO,459.6,2024-2025
"Bartels, Megan J",SJU/CSB,Female,JR,490.15,2024-2025
"Boomgaarden, Anna G",SJU/CSB,Female,SO,357.9,2024-2025
"Canfield, Claire A",SJU/CSB,Female,SO,547,2024-2025
"Hansen, Elizabeth G",SJU/CSB,Female,JR,486.1,2024-2025
"Haskamp, Mikayla L",SJU/CSB,Female,JR,479.7,2024-2025
"Jackson, Josephine M",SJU/CSB,Female,SO,434.45,2024-2025
"Kortuem, Alivia C",SJU/CSB,Female,FR,497.45,2024-2025
"Kowalczyk, Ella",SJU/CSB,Female,SO,NA,2024-2025
"Kraft, Sadie",SJU/CSB,Female,SO,NA,2024-2025
"Larson, Autumn R",SJU/CSB,Female,FR,449.8,2024-2025
"Morphew, Grace",SJU/CSB,Female,FR,427.85,2024-2025
"Morris, Mary T",SJU/CSB,Female,SO,603.05,2024-2025
"Neely, Emma R",SJU/CSB,Female,SO,413.45,2024-2025
"Netland, Emma J",SJU/CSB,Female,FR,NA,2024-2025
"Niksich, Ava R",SJU/CSB,Female,FR,458.3,2024-2025
"Oswald, Emily K",SJU/CSB,Female,SO,386.9,2024-2025
"Pfau, Natalie R",SJU/CSB,Female,FR,425.65,2024-2025
"Pratt, Emelia M",SJU/CSB,Female,FR,438.55,2024-2025
"Schlueter, Rachel V",SJU/CSB,Female,JR,564.7,2024-2025
"Sitzman, Lauren M",SJU/CSB,Female,JR,518.3,2024-2025
"Stevens, Abigail M",SJU/CSB,Female,FR,NA,2024-2025
"Stout, Morgan M",SJU/CSB,Female,JR,456.3,2024-2025
"Stutelberg, Madelyn E",SJU/CSB,Female,FR,457.95,2024-2025
"Andersen, Noah",St. Olaf,Male,FR,378.85,2024-2025
"Cameron, Daniel P",St. Olaf,Male,FR,502.4,2024-2025
"Chong, Dobbin N",St. Olaf,Male,FR,542.3,2024-2025
"Clark, Quinn S",St. Olaf,Male,FR,363.1,2024-2025
"Cox, Nathaniel J",St. Olaf,Male,FR,403.15,2024-2025
"Elling, Travis M",St. Olaf,Male,FR,569.05,2024-2025
"Giddings, Beau D",St. Olaf,Male,JR,473.2,2024-2025
"Griffey-Byram, Leo",St. Olaf,Male,JR,310,2024-2025
"Gusdal, Benjamin H",St. Olaf,Male,SR,410.8,2024-2025
"Hauck, Marcus",St. Olaf,Male,NA,524.95,2024-2025
"Homme, Jackson J",St. Olaf,Male,SO,549.75,2024-2025
"Kimmel, Miles A",St. Olaf,Male,JR,NA,2024-2025
"Loerzel, Jacob G",St. Olaf,Male,FR,411.55,2024-2025
"Nevins, Avery H",St. Olaf,Male,SR,452.85,2024-2025
"Ravndal, Grant",St. Olaf,Male,JR,442.7,2024-2025
"Roberts, Nathaniel",St. Olaf,Male,FR,372.9,2024-2025
"Starcevich, Nick R",St. Olaf,Male,JR,582.15,2024-2025
"Thronson, Mitchell",St. Olaf,Male,FR,519.15,2024-2025
"Wallace, William M",St. Olaf,Male,JR,464.65,2024-2025
"Williams, Luke M",St. Olaf,Male,SO,460.45,2024-2025
"Yung, Aiden G",St. Olaf,Male,JR,556.95,2024-2025
"Appleton, Ava B",St. Olaf,Female,FR,NA,2024-2025
"Bell, Karissa E",St. Olaf,Female,FR,482.5,2024-2025
"Carr, Savannah",St. Olaf,Female,FR,NA,2024-2025
